38,АЛЛЕРВЕТ 1%,Требуется,11,6850,2020-04-03
39,АЛЛЕРДЕРМ СПОТ-ОН,Требуется,12,9500,2012-08-09
40,АЛЬБАЗЕН,Требуется,13,6300,2011-04-03
41,АЛЬБАЗЕН 10 %,Не требуется,23,3050,2011-10-03
42,АЛЬБАЗЕН 20 %,Требуется,13,7650,2018-01-31
43,АЛЬБАМЕЛИН,Не требуется,17,2100,2011-10-22
44,АЛЬБЕН,Требуется,27,2000,2019-09-12
45,АЛЬБЕН ГРАНУЛЫ,Не требуется,20,6250,2011-12-27
46,АЛЬБЕН С,Требуется,23,9750,2011-01-11
47,АЛЬБЕНДАЗОЛ ГРАНУЛЯТ 10 %,Требуется,21,6800,2010-09-26
48,АЛЬБЕНДАЗОЛ СУСПЕНЗИЯ 10 %,Не требуется,18,9800,2019-11-09
49,АЛЬБЕНДАЗОЛ СУСПЕНЗИЯ 2.5%,Требуется,19,2400,2019-08-31
50,АЛЬБЕНДАЗОЛ ТАБЛЕТКИ 18 %,Требуется,9,4550,2019-02-16
51,АЛЬВЕСОЛ,Не требуется,12,4800,2010-05-05
52,АЛЬВЕТ,Не требуется,13,2300,2019-04-13
53,АЛЬВЕТ СУСПЕНЗИЯ,Требуется,19,5200,2019-05-20
54,АЛЬГАФЕРРИН,Не требуется,28,3500,2015-01-18
55,АЛЬФА ВЕТ,Не требуется,27,1550,2013-11-17
56,АЛЮМИНИУМ-СПРЕЙ,Не требуется,22,8750,2017-09-22
57,АМИДЕЛЬ-ГЕЛЬ,Не требуется,25,4800,2010-10-10
58,АМИЛОСУБТИЛИН Г3Х,Не требуется,19,6300,2011-12-09
59,АМИНОВИТАЛ,Требуется,25,1150,2019-01-16
60,АМИПОЛ–Т,Не требуется,18,8350,2018-04-10
61,АМИТ,Требуется,23,8950,2012-11-14
62,АМИТ ФОРТЕ,Не требуется,29,9750,2013-03-16
63,АМИТАН-1,Требуется,23,7400,2011-03-08
64,АМИТАН-2,Не требуется,20,4200,2015-08-27
65,АМИТАН-3,Требуется,25,7400,2018-05-09
66,АМОКСИКЛАВ БОЛЮСЫ,Требуется,22,3200,2019-12-02
67,АМОКСИКЛАВ ПОРОШОК,Требуется,7,2750,2015-06-22
68,АМОКСИМАГ,Не требуется,17,6700,2014-05-31
69,АМОКСИСАН,Не требуется,21,5100,2013-02-15
70,АМОКСИЦИЛЛИН 10 % ПОРОШОК,Не требуется,26,8000,2020-07-13
71,АМОКСИЦИЛЛИН 15 %,Не требуется,5,4350,2021-04-25
72,АМОКСИЦИЛЛИН 15%,Не требуется,25,5400,2012-10-21
73,АМОКСИЦИЛЛИН 150,Требуется,29,3250,2018-09-12
74,АМОКСОИЛ РЕТАРД,Не требуется,18,7900,2021-01-09
75,АМПРОБЕЛ,Не требуется,18,6150,2010-12-26
76,АМПРОЛИУМ 30%,Требуется,29,6250,2020-03-13
77,АМПРОЛИУМ-25,Требуется,28,1800,2015-05-06
78,АМУРИЛ 50 %,Требуется,27,9700,2013-11-19
79,АМУС,Не требуется,7,8000,2019-03-29
80,АНАЛЬГИВЕТ,Не требуется,15,5600,2015-01-27
81,АНАНДИН,Требуется,17,6900,2021-08-05
82,АНАНДИН ПЛЮС,Требуется,28,1500,2011-08-23
83,АНЗАЦИКЛИН,Не требуется,7,6650,2021-07-19
84,АНОТЕН,Не требуется,9,7200,2012-08-13
85,АНТИ-ФЛИ СПРЕЙ,Не требуется,20,9750,2017-08-11
86,АНТИБАК 100,Не требуется,28,9950,2011-09-23
87,АНТИБАК 250,Не требуется,22,3150,2010-10-27
88,АНТИБАК 2500,Не требуется,12,2200,2013-08-01
89,АНТИБАК 500,Требуется,8,2300,2019-09-19
90,АНТИГЕНЫ ЯЩУРНЫЕ,Требуется,14,3550,2018-10-24
91,АНТИПАР,Требуется,17,5300,2011-08-08
92,АНТИСЕДАН,Требуется,9,2850,2015-12-05
93,АНТИФЛИ КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ,Требуется,9,7350,2018-04-12
94,АПИАСК полоски,Не требуется,22,9000,2012-09-13
95,АПИАСК порошок,Требуется,5,9850,2015-09-08
96,АПИГЕЛЬ,Не требуется,30,2650,2011-05-27
97,АПИДЕЗ,Требуется,28,2050,2017-05-06
98,АПИЛИНОЛ,Не требуется,18,8900,2016-04-30
99,АПИМИЛ,Не требуется,9,5850,2021-06-26
100,АПИРОЙ,Требуется,25,2000,2020-08-31
101,АПИСИЛ,Требуется,18,7900,2015-05-24
102,АПИСТАН,Не требуется,12,8850,2019-06-12
103,АПИСТИМ,Требуется,17,2000,2016-12-21
104,АПКАРД,Требуется,6,7200,2013-01-16
105,АПОКВЕЛ,Не требуется,18,6400,2018-08-07
106,АПРАМИЦИН,Не требуется,20,1050,2011-12-28
107,АПРАМИЦИН ПОРОШОК,Не требуется,14,4200,2010-12-08
108,АПРАМИЦИНА СУЛЬФАТА 20% РАСТВОР,Требуется,15,3000,2013-03-25
109,АПТЕРИН,Требуется,5,6000,2018-02-08
110,АПТЕРИН-КОГОТЬ,Не требуется,16,1300,2018-06-20
111,АРАТАМ-БРИКЕТЫ,Требуется,9,5250,2012-03-31
112,АРАТАМ-КОНЦЕНТРАТ,Требуется,11,8450,2012-02-11
113,АРАТАМ-ПРИМАНКА,Не требуется,15,5450,2019-10-08
114,АРГУМИСТИН 0.001% и 0.005%,Требуется,25,9600,2010-04-12
115,АРМАЦИД,Не требуется,26,2650,2014-07-28
116,АРТРОВЕТ КОМПЛЕКС,Не требуется,24,5050,2018-09-05
117,АРТРОГЛИКАН,Не требуется,30,1300,2012-01-08
118,АСД – 2,Требуется,23,1800,2020-07-27
119,АСД – 3,Требуется,13,6450,2018-06-18
120,АСЕПТИК-МЛ,Не требуется,19,6300,2016-05-17
121,АСЕПТИК-СПЕЦИАЛЬ,Не требуется,28,9850,2010-07-25
122,АСЕПУР,Не требуется,22,7700,2013-06-02
123,АСК-70,Требуется,23,2300,2020-07-15
124,АСКОВЕТ,Требуется,27,9500,2010-11-01
125,АСКОНАЗОЛ,Требуется,30,8050,2011-01-07
126,АСКОПОЛ,Не требуется,21,4350,2016-12-03
127,АСКОСАН,Требуется,9,2300,2010-01-15
128,АТИМПАНОЛ,Требуется,5,4300,2015-02-15
129,АТОПИКА,Требуется,5,6800,2021-09-15
130,АТРАУМАН АГ,Не требуется,24,2650,2016-10-31
131,АФАСЦИЛ,Не требуется,7,1850,2017-09-16
132,АФЛОГИЛЕКС ГЕЛЬ 0.02 %,Требуется,9,5700,2021-06-01
133,АФЛОГИЛЕКС РАСТВОР ДЛЯ ИНЪЕКЦИЙ 0.1 %,Требуется,26,3400,2018-02-13
134,АЦИДОКС,Требуется,30,4450,2015-04-13
135,АЦИЛОМАГ,Требуется,14,4150,2018-08-30
136,АЭРАЛЬФАМ,Требуется,16,4650,2014-06-15
137,БАБЕЗАН 4% и 12% РАСТВОР ДЛЯ ИНЬЕКЦИЙ,Требуется,7,8900,2021-06-08
138,БАЙКОКС 2.5%,Не требуется,13,9600,2018-06-04
139,БАЙКОКС 5%,Не требуется,5,7250,2020-05-04
140,БАЙМАЙТ,Требуется,8,7700,2014-04-01
141,БАЙМЕК,Требуется,19,1550,2016-01-10
142,БАЙМИЦИН АЭРОЗОЛЬ,Не требуется,13,8200,2012-11-27
143,БАЙОКЛАВ IMM LC,Не требуется,21,4700,2013-12-06
144,БАЙОКЛОКС DC,Не требуется,19,7300,2019-03-06
145,БАЙОФЛАЙ ПУР-ОН,Требуется,9,1300,2013-10-22
146,БАЙТЕКС 40 % С. П.,Требуется,28,4150,2011-10-09
147,БАЙТРИЛ 10 % Раствор для инъекций,Не требуется,24,2200,2013-03-10
148,БАЙТРИЛ 10 % Раствор для орального применения,Не требуется,11,2550,2013-11-22
149,БАЙТРИЛ 2.5 %,Не требуется,6,9300,2019-01-06
150,БАЙТРИЛ 5 %,Требуется,23,1300,2018-12-08
151,БАЙТРИЛ МАКС 10 % Раствор для инъекций,Не требуется,22,8050,2019-03-03
152,БАЙЦИДАЛ ВП 25,Не требуется,17,1800,2018-06-26
153,БАКСИН,Требуется,13,3750,2019-12-19
154,БАКТОНЕОТИМ,Требуется,22,1450,2010-02-26
155,БАКТОПОЛ,Требуется,13,3600,2013-11-20
156,БАЛЬЗАМ БАКТИВЕТ С АСД,Требуется,8,5200,2016-07-31
157,БАЛЬЗАМ ДОРОГОВОЙ,Требуется,21,8300,2011-09-25
158,БАЛЬЗАМ-ОПОЛАСКИВАТЕЛЬ ЛЕСНОЙ,Не требуется,24,2150,2011-07-24
159,БАЛЬЗАМ-ОПОЛАСКИВАТЕЛЬ МОРСКОЙ,Не требуется,27,4900,2013-01-27
160,БАРС КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ,Требуется,9,6700,2017-10-06
161,БАРС КАПЛИ УШНЫЕ,Не требуется,24,6800,2017-04-20
162,БАРС ЛОСЬОН ДЛЯ ЧИСТКИ УШЕЙ,Не требуется,6,8500,2012-04-05
163,БАРС ОШЕЙНИК ИНСЕКТО-АКАРИЦИДНЫЙ,Требуется,12,10000,2011-10-02
164,БАРС СПРЕЙ ИНСЕКТО-АКАРИЦИДНЫЙ,Не требуется,23,7100,2020-07-12
165,БАРС ФОРТЕ КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ,Требуется,8,8050,2016-10-20
166,БАРС ФОРТЕ КАПЛИ УШНЫЕ,Не требуется,26,7350,2011-03-14
167,БАЦИЛИХИН,Не требуется,6,1450,2012-03-26
168,БЕЙСИК,Требуется,13,7800,2020-08-01
169,БЕНЗИЛПЕНИЦИЛЛИН НАТРИЕВАЯ СОЛЬ,Не требуется,27,5650,2012-02-16
170,БЕСТ ИН ШОУ,Не требуется,14,4400,2017-09-17
171,БЕТАМОКС LA,Не требуется,11,6100,2014-10-04
172,БЕТАФИН S1,Требуется,9,2300,2013-05-01
173,БИАНОЛ,Не требуется,7,7150,2019-08-21
174,БИВАРООЛ,Требуется,24,8250,2014-12-03
175,БИВЕРМЕКТИН,Не требуется,20,7450,2021-06-06
176,БИЛОЗИН-200,Требуется,20,7050,2021-06-04
177,БИМЕКТИН,Не требуется,28,3500,2018-02-20
178,БИМОКСИЛ LА,Требуется,20,2600,2012-10-11
179,БИНАКАР,Требуется,15,1500,2013-03-13
180,БИО-МОС,Требуется,6,6800,2012-02-24
181,БИОВАК,Требуется,18,8050,2011-01-17
182,БИОВЕРМИН ПОРОШОК,Требуется,26,2600,2017-03-21
183,БИОВЕТАЛЬГИН инъекционный,Требуется,10,4600,2020-10-23
184,БИОВИТ,Требуется,9,4200,2014-03-09
185,БИОВИТ Р-150,Требуется,15,7800,2016-04-25
186,БИОГЕЛЬ 10,Не требуется,20,4050,2019-06-26
187,БИОГЕЛЬ 5,Не требуется,11,9600,2016-01-29
188,БИОЗОЛЬ,Требуется,7,10000,2012-01-28
189,БИОКОРРЕКТОР РД,Не требуется,22,5350,2014-02-27
190,БИОЛИЗ,Не требуется,19,7400,2015-08-26
191,БИОЛИЗИН АРТРО ДЛЯ ДОГООБРАЗНЫХ ПОРОД,Не требуется,18,9800,2010-03-14
192,БИОЛИЗИН АРТРО ДЛЯ ОХОТНИЧЬИХ И СЛУЖЕБНО-СПОРТИВНЫХ ПОРОД,Требуется,6,1900,2019-01-11
193,БИОМЕТРОСАНИТ,Требуется,19,1250,2018-09-28
194,БИОНОР,Требуется,15,8550,2020-05-14
195,БИОПЛЮС 2Б,Требуется,21,6550,2017-04-20
196,БИОР-1,Требуется,8,7900,2017-02-18
197,БИОР-Н,Требуется,25,4650,2013-12-28
198,БИОРЕКС-ГХ,Не требуется,6,1850,2020-10-15
199,БИОРИТМ-КОНТРОЛЬ,Не требуется,10,7800,2017-04-21
200,БИОСАНИТ,Не требуется,15,6050,2014-01-27
201,БИОСОЛВ ПЛЮС,Не требуется,10,1300,2021-01-17
202,БИОТЕК,Требуется,10,3350,2015-05-07
203,БИОФАРМ-120,Требуется,11,4650,2016-10-22
204,БИОФОМ,Не требуется,24,7400,2015-10-02
205,БИОЦЕФИТ,Требуется,27,3550,2019-08-22
206,БИПИН,Не требуется,24,3550,2020-10-26
207,БИПИН-Т,Не требуется,30,8450,2016-08-17
208,БИФИДУМ-СХЖ,Требуется,29,6700,2019-10-11
209,БЛОХНЭТ КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ,Не требуется,19,9300,2011-01-27
210,БЛОХНЭТ СПРЕЙ ИНСЕКТО-АКАРИЦИДНЫЙ,Требуется,12,4100,2018-12-24
211,БОЛЬФО АЭРОЗОЛЬ,Требуется,17,2650,2019-02-12
212,БОЛЬФО ПУДРА,Не требуется,16,3550,2010-06-24
213,БОЛЬФО ШАМПУНЬ,Требуется,8,9550,2013-04-10
214,БОНХАРЕН,Требуется,19,7600,2013-04-28
215,БОНХАРЕН ФОРТЕ,Требуется,18,9150,2020-05-24
216,БРАВЕКТО,Не требуется,17,4150,2011-05-03
217,БРАВЕКТО СПОТ ОН,Требуется,18,8600,2021-03-26
218,БРАНОЛИНД Н,Требуется,20,9100,2016-05-09
219,БРОМКОЛИН,Не требуется,22,4000,2016-02-13
220,БРОМОДОКС,Требуется,14,2600,2021-01-20
221,БРОМОСЕПТ-50,Требуется,28,6000,2014-12-12
222,БУТОКС 50,Не требуется,25,4350,2017-07-09
223,БУТОКС 7.5,Требуется,15,9200,2011-05-03
224,ДАНА КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ,Не требуется,28,5700,2018-06-17
225,ДАНА СПРЕЙ ИНСЕКТО-АКАРИЦИДНЫЙ,Не требуется,23,5900,2018-09-24
226,ДАНА УЛЬТРА КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ,Не требуется,9,6100,2015-07-11
227,ДАНА УЛЬТРА ОШЕЙНИК ПРОТИВОПАРАЗИТАРНЫЙ,Не требуется,14,5300,2020-04-11
228,ДЕГОТЬ,Требуется,12,8400,2014-02-09
229,ДЕЗ-1,Не требуется,9,2200,2016-05-06
230,ДЕЗАМИН,Требуется,14,4050,2019-03-07
231,ДЕЗАЦИД,Не требуется,22,8250,2019-09-13
232,ДЕЗИНПОЛ,Требуется,16,7700,2021-07-09
233,ДЕЗИНФЕКСАН,Требуется,12,9350,2011-03-05
234,ДЕКОР-1,Требуется,20,6300,2013-10-13
235,ДЕКОР-2,Не требуется,9,4850,2015-01-26
236,ДЕКСАВЕТ 0.4%,Требуется,9,6900,2021-08-10
237,ДЕКСАФОРТ,Не требуется,19,4150,2012-05-15
238,ДЕКТА,Не требуется,10,2950,2015-10-12
239,ДЕКТА-2,Не требуется,26,5200,2018-04-10
240,ДЕКТОМАКС,Требуется,24,2300,2019-06-12
241,ДЕЛЕГОЛЬ,Требуется,26,7300,2013-11-13
242,ДЕМОС,Требуется,29,9550,2010-05-24
243,ДеМоС,Требуется,30,2800,2017-01-11
244,ДЕМОС-ЛЮКС,Требуется,12,9550,2016-05-15
245,ДЕНАГАРД 10 % ПОРОШОК,Требуется,15,1550,2017-11-06
246,ДЕННИЦА ГЕЛЬ,Требуется,18,7200,2015-08-12
247,ДЕНТАВЕДИН,Требуется,13,8750,2018-08-28
248,ДЕПОЛЕН,Не требуется,26,8000,2011-04-15
249,ДЕРАТ ТВЕРДЫЕ БРИКЕТЫ,Не требуется,28,7650,2016-09-10
250,ДЕРМАТОЗОЛЬ,Не требуется,11,1000,2020-07-18
251,ДЕРМИКОЦИД,Не требуется,19,2700,2015-07-07
252,ДЕТОКС,Требуется,30,8150,2010-10-23
253,ДЕФТОРФОСФАТ КОРМОВОЙ,Не требуется,9,4550,2021-08-21
254,ДЕХИНЕЛ ПЛЮС ДЛЯ СОБАК,Не требуется,28,8450,2020-06-19
255,ДЕХИНЕЛ ПЛЮС ДЛЯ СОБАК СО ВКУСОМ МЯСА,Не требуется,5,3450,2021-07-06
256,ДЖИМКЕТ УРИНАРИ ПАСТА,Не требуется,10,9400,2014-10-16
257,ДИАГЕЛЬ,Не требуется,6,1050,2017-11-07
258,ДИАГНОСТИКУМЫ ЭРИТРОЦИТАРНЫЕ ТИПОСПЕЦИФИЧЕСКИЕ,Не требуется,23,6700,2018-07-20
259,ДИАЗИНОН С,Не требуется,16,9550,2017-03-28
260,ДИАРИН,Не требуется,20,9250,2018-09-23
261,ДИАРКАН,Требуется,30,3750,2017-06-19
262,ДИГИТОН капли,Не требуется,26,8600,2016-03-22
263,ДИЕНОМАСТ,Не требуется,5,2400,2018-05-18
264,ДИЗПАРКОЛ,Требуется,27,5800,2019-05-18
265,ДИКЛАКОКС ФОРТЕ,Требуется,27,5250,2016-03-22
266,ДИКСАМ,Требуется,12,5950,2013-07-12
267,ДИОКСИДИН 1 % РАСТВОР,Требуется,10,2900,2013-09-28
268,ДИОКСИЛАН 1 % РАСТВОР,Требуется,22,7500,2018-07-27
269,ДИОМЕТР,Не требуется,23,5550,2017-11-29
270,ДИОФУР,Не требуется,16,5400,2020-08-05
271,ДИПАЛ КОНЦЕНТРАТ,Требуется,27,3600,2019-11-06
272,ДИПЕНТАВАК,Требуется,20,8550,2013-02-24
273,ДИПРОВАН,Требуется,10,2650,2014-10-15
274,ДИПРОКАРБ,Требуется,19,9900,2012-07-29
275,ДИРОНЕТ СУСПЕНЗИЯ,Не требуется,29,5600,2019-08-17
276,ДИРОФЕН ТАБЛЕТКИ,Не требуется,18,4650,2015-01-16
277,ДИРОФЕН-ПАСТА,Не требуется,14,5600,2012-03-07
278,ДИРОФЕН-СУСПЕНЗИЯ,Требуется,29,3300,2011-02-04
279,ДИТРИМ,Не требуется,5,3450,2017-03-17
280,ДИТРИМ ПОРОШОК,Требуется,6,5200,2010-05-15
281,ДИФЕНАЦИН 1 % МАСЛЯНЫЙ РАСТВОР (МРД),Требуется,30,5350,2010-12-02
282,ДИФЕНАЦИН СУБСТАНЦИЯ,Требуется,12,1750,2014-11-24
283,ДИФУМАСТ,Требуется,14,5650,2017-11-06
284,ДИФУР,Не требуется,13,9650,2015-10-07
285,ДИФУРОЛ А,Не требуется,6,8250,2011-07-07
286,ДИФУРОЛ Б,Не требуется,8,6900,2020-04-15
287,ДМ СИД-С,Требуется,28,3950,2017-09-29
288,ДОБРОГРЫЗЯ,Не требуется,21,8100,2019-08-22
289,ДОБРОКОТЯ,Не требуется,30,8950,2016-03-14
290,ДОБРОПЁСА,Не требуется,14,6800,2019-10-20
291,ДОКСИВИТ 10 %,Не требуется,7,5100,2013-07-15
292,ДОКСИКЛИН 20 %,Не требуется,14,4450,2014-11-08
293,ДОКСИЛОКС,Требуется,16,5950,2012-12-15
294,ДОКСИМАГ,Требуется,27,4400,2014-06-20
295,ДОКСИМАГ-О,Требуется,22,9700,2013-11-10
296,ДОКСИМЕТРИН,Не требуется,28,3050,2020-05-16
297,ДОМИТОР,Требуется,30,4550,2015-12-26
298,ДОРБЕН,Требуется,25,4850,2018-04-13
299,ДОРИН,Не требуется,11,2250,2010-08-22
300,ДОРИН-Р,Не требуется,6,3150,2014-03-25
301,ДОСАЛИД,Требуется,7,8150,2020-01-12
302,ДОСТИМ,Не требуется,26,5550,2011-03-09
303,ДП 2,Не требуется,11,2900,2011-07-28
304,ДП-2Т,Не требуется,22,8250,2018-06-10
305,ДРАКСИН,Требуется,11,9800,2017-11-01
306,ДРОЖЖИ ПИВНЫЕ,Требуется,30,4400,2019-08-14
307,ДРОЖЖИ-СФК,Требуется,6,2350,2017-09-26
308,ДРОНТАЛ ДЖУНИОР,Требуется,5,6850,2013-10-01
309,ДРОНТАЛ,Требуется,27,9850,2011-12-05
310,ДРОНТАЛ ПЛЮС,Требуется,16,1600,2018-11-28
311,ДЮФАЛАЙТ,Требуется,12,1350,2012-03-25
312,КEТОНИЛ,Не требуется,11,4250,2012-02-14
313,КАЙОД,Не требуется,8,3100,2011-12-09
314,КАЛИЯ ЙОДАТ СУБСТАНЦИЯ,Не требуется,17,1400,2016-02-03
315,КАЛИЯ ЙОДИД СУБСТАНЦИЯ,Требуется,13,5400,2013-06-03
316,КАЛЬВОМИЛК-12,Требуется,22,1350,2014-12-04
317,КАЛЬВОМИЛК-16,Требуется,26,5700,2019-07-18
318,КАЛЬФОСЕТ,Не требуется,22,2800,2020-05-12
319,КАЛЬФОСТОНИК,Не требуется,13,2150,2015-05-09
320,КАЛЬЦЕНОН,Требуется,9,7850,2016-09-23
321,КАЛЬЦЕФИТ-1,Не требуется,10,9200,2011-09-10
322,КАЛЬЦЕФИТ-14,Требуется,15,5550,2011-05-16
323,КАЛЬЦЕФИТ-15,Требуется,15,4850,2020-03-15
324,КАЛЬЦИТАТ С50,Не требуется,18,5350,2015-08-19
325,КАЛЬЦИЯ БОРГЛЮКОНАТ (МАГ),Требуется,6,7150,2014-02-09
326,КАЛЬЦИЯ БОРГЛЮКОНАТ (Нита),Требуется,25,5900,2019-01-26
327,КАМЕДОН,Требуется,21,3800,2011-08-09
328,КАНАМИЦИН 10 %,Требуется,14,4800,2013-09-04
329,КАНИАГИЛ,Не требуется,30,3800,2010-06-10
330,КАНИГЕН DHA2PPi/L,Не требуется,16,5800,2015-10-23
331,КАНИГЛО,Требуется,17,4200,2021-01-02
332,КАНИКВАНТЕЛ ПЛЮС,Требуется,26,2400,2011-10-18
333,КАНИНСУЛИН,Требуется,28,1000,2014-12-15
334,КАНТАРЕН РАСТВОР ДЛЯ ИНЪЕКЦИЙ,Не требуется,8,8300,2019-07-24
335,КАНТАРЕН ТАБЛЕТКИ,Требуется,25,2400,2013-08-11
336,КАПЛИ ГЛАЗНЫЕ БАРС,Не требуется,22,6150,2011-11-06
337,КАПЛИ ГЛАЗНЫЕ ИРИС,Требуется,11,5300,2018-03-16
338,КАПЛИ ГЛАЗНЫЕ ЦИПРОВЕТ,Не требуется,16,2750,2016-01-14
339,КАПЛИ ГЛАЗНЫЕ-ИНТРАНАЗАЛЬНЫЕ АНАНДИН,Не требуется,12,8950,2010-03-16
340,КАПЛИ УШНЫЕ АНАНДИН,Не требуется,17,5900,2017-07-10
341,КАРДАЛИC,Не требуется,22,7800,2011-07-26
342,КАРНИВАК-КОВ,Требуется,7,5600,2019-11-03
343,КАРОЛИН +Se,Требуется,17,3600,2020-11-04
344,КАРОФЕРТИН,Требуется,26,4800,2016-09-29
345,КАРСУЛЕН,Требуется,27,6450,2019-09-08
346,КАТОБЕВИТ,Требуется,18,8950,2011-03-11
347,КАТОЗАЛ,Не требуется,8,8150,2016-01-10
348,КАФОРСЕН РАСТВОР ДЛЯ ИНЪЕКЦИЙ,Не требуется,25,8200,2011-04-10
349,КАФОРСЕН РАСТВОР ДЛЯ ПЕРОРАЛЬНОГО ПРИМЕНЕНИЯ,Не требуется,17,5850,2021-05-05
350,КАФОРСЕН ТАБЛЕТКИ,Требуется,22,1400,2018-04-16
351,КВАДРИКАТ,Не требуется,17,3450,2020-03-07
352,КВАДРИСОЛ 5,Не требуется,7,3300,2010-11-07
353,КВИВИТАН,Не требуется,23,10000,2017-04-01
354,КВИК БАЙТ ВГ 10,Не требуется,29,3400,2015-01-18
355,КВИНОКОЛ,Не требуется,26,2700,2016-10-01
356,КЕНОТЕСТ,Не требуется,22,5500,2020-06-16
357,КЕНТАВР ЛОСЬОН-СПРЕЙ РЕПЕЛЛЕНТНОЕ СРЕДСТВО,Не требуется,16,1800,2011-08-09
358,КЕТОКВИН 1% и 10%,Требуется,23,4600,2011-01-29
359,КЕТОПРОФ,Требуется,10,7700,2015-08-20
360,КЕТОПРОФЕН 10%,Требуется,6,9100,2017-08-22
361,КЕТОФЕН 1%,Не требуется,12,8050,2011-04-04
362,КЕТОФЕН ТАБЛЕТКИ,Не требуется,29,8000,2014-07-15
363,КИЛТИКС ОШЕЙНИК,Не требуется,15,8900,2021-02-15
364,КИНОРОН,Не требуется,6,2450,2012-05-16
365,КЛАВАСЕПТИН,Не требуется,24,1000,2019-04-01
366,КЛЕЕЛОВ КЛЕЙ,Не требуется,22,7650,2018-10-18
367,КЛЕЕЛОВ ЛИПКАЯ ЛЕНТА,Не требуется,11,3300,2013-04-04
368,КЛЕЕЛОВ ЛИПКАЯ ПЛАСТИНА,Требуется,25,9400,2020-12-23
369,КЛЕТКИ КРОВИ АЭРОЗОЛЬНОЙ СУШКИ АР-301,Требуется,21,3200,2018-01-20
370,КЛИНАФАРМ СПРЕЙ,Не требуется,23,8800,2013-06-21
371,КЛИНДАСПЕКТИН ВОДОРАСТВОРИМЫЙ ПОРОШОК,Не требуется,8,7500,2021-07-02
372,КЛИНДАСПЕКТИН РАСТВОР ДЛЯ ИНЪЕКЦИЙ,Требуется,21,5600,2012-01-03
373,КЛОВЕРМ,Не требуется,30,7100,2018-12-15
374,КЛОЗАЛЬБЕН-10,Не требуется,24,7600,2015-12-10
375,КЛОЗАНТЕКС,Не требуется,28,1800,2010-04-20
376,КЛОЗАНТИН,Не требуется,12,8800,2019-10-16
377,КЛОКСАМАСТ,Требуется,10,3850,2021-08-18
378,КОБАКТАН,Требуется,23,3300,2020-07-03
379,КОБАКТАН LC,Не требуется,22,6450,2021-04-22
380,КОВЕРТАЛ РАСТВОР ДЛЯ ИНЪЕКЦИЙ,Не требуется,11,8850,2013-10-19
381,КОВИНАН,Не требуется,16,2150,2018-05-27
382,КОВИТСАН,Требуется,13,6500,2015-08-02
383,КОКЦИДИН-10,Требуется,16,8600,2020-11-25
