189,Воспаление слёзной железы,2018-07-30,Средняя,Не требуется
190,Воспаление спинного мозга миелит,2021-01-10,Легкая,Не требуется
191,Воспаление среднего уха,2011-09-02,Тяжелая,Требуется
192,Впадина грудной клетки,2019-12-30,Легкая,Не требуется
193,Врожденные пороки ЦНС,2019-07-29,Легкая,Не требуется
194,Вторичная атония матки и задержка отделения последов,2014-12-14,Легкая,Не требуется
195,Вульвит,2014-05-29,Легкая,Не требуется
196,Вульводиния,2015-12-28,Средняя,Не требуется
197,Вывих глазного яблока,2015-10-04,Тяжелая,Требуется
198,Вывих коленной чашечки,2013-03-30,Средняя,Не требуется
199,Вывих локтевого сустава врожденный,2010-05-10,Средняя,Не требуется
200,Вывихи суставов и дисплазия,2010-11-11,Тяжелая,Требуется
201,Выворот век,2013-06-25,Легкая,Не требуется
202,Выпадение прямой кишки,2013-06-26,Тяжелая,Требуется
203,Габронемоз,2019-10-28,Легкая,Не требуется
204,Гамборо болезнь,2011-01-02,Тяжелая,Требуется
205,Ганглионеврит,2019-12-14,Тяжелая,Требуется
206,Гангулетеракидоз,2014-08-22,Средняя,Не требуется
207,Гаспинг-синдром,2015-04-20,Средняя,Не требуется
208,Гастрит острый катаральный,2020-10-11,Легкая,Не требуется
209,Гастрит хронический,2010-05-17,Легкая,Не требуется
210,Гастротиляксоз,2013-01-01,Легкая,Не требуется
211,Гастрофилёз,2013-08-01,Средняя,Не требуется
212,Гастроэзофагеальная рефлюксная болезнь,2017-09-11,Легкая,Не требуется
213,Гафниоз,2015-04-25,Средняя,Не требуется
214,Гемартроз,2013-06-30,Легкая,Не требуется
215,Гематома носовой перегородки,2012-07-15,Средняя,Не требуется
216,Гематома ушной раковины,2015-11-24,Легкая,Не требуется
217,Гематомиелия,2019-10-13,Тяжелая,Требуется
218,Гемифациальный спазм,2018-04-23,Средняя,Не требуется
219,Гемобартонеллёз кошек,2014-03-13,Средняя,Не требуется
220,Гемонхоз,2016-09-16,Тяжелая,Требуется
221,Геморрагический диатез,2012-10-08,Тяжелая,Требуется
222,Гемофилезный полисерозит,2015-05-27,Средняя,Не требуется
223,Гемохроматоз,2015-11-22,Средняя,Не требуется
224,Гепатит инфекционный,2015-01-19,Легкая,Не требуется
225,Гепатоз,2016-01-15,Тяжелая,Требуется
226,Гепатопатии хронические,2012-01-21,Средняя,Не требуется
227,Герметиоз,2017-04-30,Средняя,Не требуется
228,Герпес,2021-02-03,Средняя,Не требуется
229,Гибель новорожденных щенков,2016-12-23,Тяжелая,Требуется
230,Гидрометра,2012-07-30,Средняя,Не требуется
231,Гиперлексия,2012-06-27,Легкая,Не требуется
232,Гиперсенситивный пищевод,2015-05-24,Средняя,Не требуется
233,Гипертензивный церебральный криз,2019-07-13,Тяжелая,Требуется
234,Гипертонический криз,2012-05-04,Тяжелая,Требуется
235,Гиперчувствительность,2014-02-19,Средняя,Не требуется
236,Гиповитаминоз,2020-03-06,Средняя,Не требуется
237,Гиповитаминоз B1,2014-06-28,Тяжелая,Требуется
238,Гиповитаминоз B12,2019-01-12,Легкая,Не требуется
239,Гиповитаминоз B6,2011-10-05,Легкая,Не требуется
240,Гиповитаминоз D,2020-08-06,Тяжелая,Требуется
241,Гиповитаминоз А,2018-02-28,Средняя,Не требуется
242,Гиповитаминоз В2,2016-10-04,Средняя,Не требуется
243,Гиповитаминоз пантотеновой кислоты витамина В3,2021-08-11,Тяжелая,Требуется
244,Гиповитаминоз фолиевой кислоты,2016-04-01,Легкая,Не требуется
245,Гиповитаминоз холина витамина В4,2017-07-07,Средняя,Не требуется
246,Гиповитаминозы,2019-01-26,Средняя,Не требуется
247,Гипогалактия,2015-12-12,Легкая,Не требуется
248,Гипогликемическая кома,2017-05-18,Тяжелая,Требуется
249,Гипогликемия,2018-07-02,Тяжелая,Требуется
250,Гиподерматоз,2012-10-31,Тяжелая,Требуется
251,Гипоменорея,2015-09-07,Средняя,Не требуется
252,Гипопаратиреоз,2019-12-13,Средняя,Не требуется
253,Гипоплазия коркового вещества почек,2013-08-03,Легкая,Не требуется
254,Гипотиреоз,2018-08-11,Тяжелая,Требуется
255,Гипотония преджелудков,2019-04-11,Средняя,Не требуется
256,Гипохондроплазия,2016-02-03,Тяжелая,Требуется
257,Гистоплазмоз,2021-03-25,Тяжелая,Требуется
258,Глаукома,2012-04-09,Средняя,Не требуется
259,Гликогевзия,2017-06-12,Средняя,Не требуется
260,Гломерулонефрит острый диффузный,2012-07-09,Средняя,Не требуется
261,Глубокое воспаление век,2010-03-23,Тяжелая,Требуется
262,Глюкагонома,2015-09-25,Тяжелая,Требуется
263,Гнойные раны,2019-08-27,Легкая,Не требуется
264,Гнойный артрит,2011-02-19,Тяжелая,Требуется
265,Гнойный конъюнктивит,2016-02-05,Средняя,Не требуется
266,Гнойный миозит,2020-06-23,Легкая,Не требуется
267,Гнойный остеоартрит,2012-08-19,Средняя,Не требуется
268,Гнойный периостит,2012-08-13,Легкая,Не требуется
269,Гнойный синовит,2014-06-30,Легкая,Не требуется
270,Гнойный тендовагинит,2016-02-27,Тяжелая,Требуется
271,Гонгилонематоз,2012-09-30,Средняя,Не требуется
272,Гранулоцитопения,2017-06-12,Легкая,Не требуется
273,Гранулёзный конъюнктивит,2010-11-03,Средняя,Не требуется
274,Грипп,2019-05-17,Легкая,Не требуется
275,Грипп лошадей,2011-02-04,Средняя,Не требуется
276,Грыжа Шморля,2013-01-13,Легкая,Не требуется
277,Грыжа бедренная,2019-09-26,Легкая,Не требуется
278,Грыжа белой линии,2012-04-10,Средняя,Не требуется
279,Грыжа паховая,2012-01-01,Средняя,Не требуется
280,Грыжа пищеводного отверстия диафрагмы,2016-12-23,Средняя,Не требуется
281,Грыжи,2017-12-24,Легкая,Не требуется
282,Грязный дерматоз Дункана,2018-01-27,Тяжелая,Требуется
283,Губкообразная энцефалопатия,2013-03-06,Средняя,Не требуется
284,ДВС-синдром,2015-12-21,Легкая,Не требуется
285,Дакриоцистит,2015-11-28,Средняя,Не требуется
286,Двигательные и волевые расстройства,2021-08-17,Средняя,Не требуется
287,Двурогая матка,2014-08-03,Легкая,Не требуется
288,Дебильность,2012-03-06,Тяжелая,Требуется
289,Дегенеративно-дистрофическое заболевание диска,2021-03-06,Средняя,Не требуется
290,Дегенеративные и сосудистые болезни уха,2018-03-23,Тяжелая,Требуется
291,Дегенерация сетчатки пигментная,2015-09-29,Тяжелая,Требуется
292,Дегенерация сетчатки центральная,2013-01-06,Легкая,Не требуется
293,Дейтеранопия,2020-11-22,Тяжелая,Требуется
294,Декомпрессионная болезнь,2012-04-30,Тяжелая,Требуется
295,Декстрокардия,2016-11-29,Легкая,Не требуется
296,Делеции части хромосомы,2021-07-16,Легкая,Не требуется
297,Делирий,2020-08-31,Тяжелая,Требуется
298,Демиелинизация,2016-09-14,Тяжелая,Требуется
299,Демодекоз,2018-10-17,Тяжелая,Требуется
300,Демпинг-синдром,2018-06-03,Тяжелая,Требуется
301,Дерматит,2017-06-27,Легкая,Не требуется
302,Дерматит жуков-нарывников,2021-01-08,Средняя,Не требуется
303,Дерматобиаз,2013-12-26,Легкая,Не требуется
304,Дерматоз,2017-12-12,Тяжелая,Требуется
305,Дефицит 1α-гидроксилазы,2017-06-14,Тяжелая,Требуется
306,Дефицит селена,2015-08-19,Легкая,Не требуется
307,Диабетическая ангиопатия,2015-01-04,Тяжелая,Требуется
308,Диабетическая нейропатия,2015-04-23,Тяжелая,Требуется
309,Диабетическая нефропатия,2012-05-03,Тяжелая,Требуется
310,Дивертикул пищевода,2021-07-11,Тяжелая,Требуется
311,Дикроцелиоз,2020-02-22,Средняя,Не требуется
312,Дилатация предсердий,2017-11-16,Тяжелая,Требуется
313,Дилятационная кардиомиопатия,2014-07-13,Средняя,Не требуется
314,Дипилидиоз,2015-03-18,Тяжелая,Требуется
315,Диплококкоз,2018-02-12,Легкая,Не требуется
316,Дирофиляриоз,2011-07-28,Средняя,Не требуется
317,Дискинезия желчевыводящих путей,2012-10-12,Средняя,Не требуется
318,Дискинезия пищевода,2019-10-09,Средняя,Не требуется
319,Дископатия,2019-04-02,Легкая,Не требуется
320,Дисплазия тазобедренного сустава,2015-09-11,Легкая,Не требуется
321,Дистимия,2020-12-09,Тяжелая,Требуется
322,Дифиллоботриоз,2011-11-28,Тяжелая,Требуется
323,Диффузный спазм пищевода,2012-09-11,Тяжелая,Требуется
324,Доброкачественное позиционное пароксизмальное головокружение,2021-07-23,Тяжелая,Требуется
325,Долихоколон,2014-01-20,Тяжелая,Требуется
326,Долихосигма,2021-01-01,Средняя,Не требуется
327,Дранкорексия,2011-01-17,Средняя,Не требуется
328,Дромомания,2018-06-05,Тяжелая,Требуется
329,Желточный перитонит,2020-11-23,Средняя,Не требуется
330,Желудка расширение,2013-07-02,Тяжелая,Требуется
331,Желчного пузыря камни,2014-04-11,Средняя,Не требуется
332,Желчнокаменная болезнь,2020-01-17,Тяжелая,Требуется
333,Заворот век,2019-09-16,Легкая,Не требуется
334,Заворот доли легкого,2012-01-29,Легкая,Не требуется
335,Заворот желудка,2015-03-18,Легкая,Не требуется
336,Заворот рога беременной матки,2017-08-23,Тяжелая,Требуется
337,Заворот третьего века,2020-03-26,Тяжелая,Требуется
338,Закрытый гнойный синовит,2013-10-24,Средняя,Не требуется
339,Залёживание беременных,2021-06-15,Тяжелая,Требуется
340,Застойная кардиомиопатия,2020-02-10,Средняя,Не требуется
341,Затёк,2019-04-21,Тяжелая,Требуется
342,Злокачественная катаральная горячка,2013-05-09,Средняя,Не требуется
343,Злокачественный нейролептический синдром,2014-08-24,Тяжелая,Требуется
344,Злокачественный отёк,2019-08-12,Тяжелая,Требуется
345,Зоб,2012-06-04,Легкая,Не требуется
346,Зубной камень,2017-02-02,Легкая,Не требуется
347,Зудневая чесотка,2017-11-05,Тяжелая,Требуется
348,Идиопатическая неспецифическая интерстициальная пневмония,2019-10-21,Средняя,Не требуется
349,Идиопатическая тромбоцитопения,2018-05-09,Тяжелая,Требуется
350,Идиопатические энцефалопатии,2012-10-10,Средняя,Не требуется
351,Изоспороз,2010-11-19,Легкая,Не требуется
352,Инородные тела в глотке,2016-10-07,Легкая,Не требуется
353,Инородные тела в желудке,2012-02-17,Легкая,Не требуется
354,Инородные тела в кишечнике,2013-08-27,Легкая,Не требуется
355,Инородные тела в пищеводе,2020-02-12,Средняя,Не требуется
356,Инородные тела в трахее,2010-11-22,Средняя,Не требуется
357,Инородные тела во рту,2013-09-30,Легкая,Не требуется
358,Инородные тела гортани,2010-07-31,Средняя,Не требуется
359,Инсулинома,2017-06-03,Тяжелая,Требуется
360,Инфаркт миокарда,2017-12-03,Тяжелая,Требуется
361,Инфекционная агалактия,2010-12-14,Тяжелая,Требуется
362,Инфекционная анемия,2013-01-31,Средняя,Не требуется
363,Инфекционная энтеротоксемия,2018-03-11,Средняя,Не требуется
364,Инфекционный гепатит,2011-10-01,Тяжелая,Требуется
365,Инфекционный ларинготрахеит,2016-01-26,Тяжелая,Требуется
366,Инфекционный перитонит,2013-01-06,Тяжелая,Требуется
367,Инфекционный ринотрахеит,2018-06-11,Тяжелая,Требуется
368,Инфекционный эндокардит,2020-11-10,Средняя,Не требуется
369,Ирит и иридоциклит,2016-10-31,Тяжелая,Требуется
370,Искусственное прерывание беременности,2010-09-25,Средняя,Не требуется
371,Истинная полицитемия,2015-05-31,Средняя,Не требуется
372,Кавернозный туберкулёз,2019-04-08,Средняя,Не требуется
373,Кальцивироз,2012-03-10,Легкая,Не требуется
374,Каннибализм,2010-07-06,Легкая,Не требуется
375,Кардиомиопатия,2014-09-05,Тяжелая,Требуется
376,Кардиопротезный психопатологический синдром,2012-06-28,Средняя,Не требуется
377,Кариес,2010-11-11,Тяжелая,Требуется
378,Кариес зубов,2012-02-10,Легкая,Не требуется
379,Карциноидный синдром,2016-06-16,Средняя,Не требуется
380,Катаракта,2017-03-18,Легкая,Не требуется
381,Квашиоркор,2012-02-17,Тяжелая,Требуется
382,Кератит,2016-05-15,Средняя,Не требуется
383,Кивательный синдром,2020-09-05,Легкая,Не требуется
384,Киста холедоха,2018-03-29,Средняя,Не требуется
385,Кисты яичников,2016-11-19,Тяжелая,Требуется
386,Кишечника болезни,2010-05-07,Легкая,Не требуется
387,Кишечный копростаз,2015-07-23,Средняя,Не требуется
388,Классическая чума,2019-03-13,Легкая,Не требуется
389,Кожная аутосенсибилизация,2015-08-16,Тяжелая,Требуется
390,Кокцигодиния,2017-09-01,Легкая,Не требуется
391,Кокцидиоз,2018-12-11,Тяжелая,Требуется
392,Колеоптерозы,2020-03-15,Легкая,Не требуется
393,Колибактериоз,2014-02-08,Средняя,Не требуется
394,Колит гистиоцитарный язвенный,2010-10-21,Тяжелая,Требуется
395,Колтун (воспаление),2014-09-19,Средняя,Не требуется
396,Контактный дерматит,2021-05-06,Легкая,Не требуется
397,Контрактура,2016-08-26,Тяжелая,Требуется
398,Контрактура Дюпюитрена,2011-05-03,Легкая,Не требуется
399,Конъюнктивит,2014-06-22,Средняя,Не требуется
400,Коровья оспа,2021-01-09,Средняя,Не требуется
401,Краниосиностоз,2010-12-05,Тяжелая,Требуется
402,Крапивница,2018-04-14,Тяжелая,Требуется
403,Красный плоский лишай,2013-02-07,Тяжелая,Требуется
404,Криптогенная организующаяся пневмония,2019-05-19,Средняя,Не требуется
405,Криптококкоз,2013-11-19,Средняя,Не требуется
406,Криптоспоридиоз,2019-09-20,Тяжелая,Требуется
407,Круп,2011-08-24,Тяжелая,Требуется
408,Крупнобляшечный парапсориаз,2011-09-01,Тяжелая,Требуется
409,Крыловидная плева,2018-03-19,Легкая,Не требуется
410,Ксантелазма,2015-09-23,Легкая,Не требуется
411,Ку-лихорадка,2019-02-09,Легкая,Не требуется
412,Кутереброз,2015-01-16,Средняя,Не требуется
413,Кушинга синдром,2014-08-02,Легкая,Не требуется
414,Лактостаз,2017-10-11,Легкая,Не требуется
415,Ламеллярный ихтиоз,2013-12-26,Средняя,Не требуется
416,Ларингит острый отек гортани,2012-11-13,Легкая,Не требуется
417,Лейкоз вирусный,2017-11-13,Средняя,Не требуется
418,Лейшманиоз,2019-07-07,Тяжелая,Требуется
419,Лептоспироз,2015-05-28,Тяжелая,Требуется
420,Лигулидоз,2021-06-12,Средняя,Не требуется
421,Лимфолейкоз,2019-01-28,Средняя,Не требуется
422,Лимфосаркома,2014-10-20,Средняя,Не требуется
423,Лимфостаз,2016-09-16,Тяжелая,Требуется
424,Лимфоцитарная интерстициальная пневмония,2016-08-29,Средняя,Не требуется
425,Лимфоцитарная инфильтрация Джесснера–Канофа,2014-11-26,Легкая,Не требуется
426,Липомеланотический ретикулёз,2019-12-24,Тяжелая,Требуется
427,Листериоз,2017-04-18,Тяжелая,Требуется
428,Лихорадка долины Рифт,2016-09-16,Средняя,Не требуется
429,Лишай - дерматомикозы,2015-04-14,Тяжелая,Требуется
430,Лишай - микроспория,2013-10-15,Средняя,Не требуется
431,Лишай - трихофития,2018-10-07,Тяжелая,Требуется
432,Ложный сустав,2010-01-23,Средняя,Не требуется
433,Лучевая болезнь,2016-11-03,Тяжелая,Требуется
434,Лямблиоз (гиардоз),2013-06-21,Легкая,Не требуется
435,Мадароз,2020-09-22,Средняя,Не требуется
436,Мазохистическое расстройство личности,2017-06-24,Средняя,Не требуется
437,Макраканторинхоз,2013-06-15,Легкая,Не требуется
438,Макроглобулинемия Вальденстрема,2017-06-29,Средняя,Не требуется
439,Макроглоссия,2011-10-24,Средняя,Не требуется
440,Макродентоз,2018-12-18,Легкая,Не требуется
441,Макропсия,2015-03-28,Легкая,Не требуется
442,Макростомия,2015-07-31,Тяжелая,Требуется
443,Макрохейлит,2019-05-02,Средняя,Не требуется
444,Макроцефалия,2014-09-10,Тяжелая,Требуется
445,Макулодистрофия сетчатки глаза,2010-01-13,Тяжелая,Требуется
446,Макулярная эдема,2017-04-29,Средняя,Не требуется
447,Малая депрессия,2019-06-08,Легкая,Не требуется
448,Маловодие,2019-06-06,Легкая,Не требуется
449,Малый размер плода,2011-06-25,Средняя,Не требуется
450,Мальабсорбция у детей,2021-01-27,Легкая,Не требуется
451,Мальабсорбция фруктозы,2014-02-13,Легкая,Не требуется
452,Мальформация Арнольда — Киари,2017-08-01,Средняя,Не требуется
453,Малярия,2021-05-22,Легкая,Не требуется
454,Маниакально-депрессивный психоз,2019-09-17,Тяжелая,Требуется
